restaurant_id,city_id,restaurant_name,cuisine_type,address,average_rating,opening_hours,delivery_time
2046,109, Rajasthani Delights  , Rajasthani        ," 222 Rajasthani Road, Jaipur ",4.3, 10:00 AM  -  12:00 PM ,0:40:00
2047,105, Spice of Hyderabad   , Hyderabadi        ," 101 Hyderabad Road, Hyderabad",4.7, 10:30 AM  -  1:00 PM ,0:45:00
2048,110, Chandigarh Street    , Street Food       ," 444 Street Lane, Chandigarh ",4, 10:00 PM  -  11:00 PM ,0:35:00
2049,102, Mumbai Munch         , Fast Food         ," 555 Fast Street, Mumbai   ",4.2, 10:30 AM  -  12:30 PM ,0:30:00
2050,120, Indore Spice         , Indori            ," 777 Indori Lane, Indore   ",4.6, 11:00 AM  -  11:00 PM ,0:40:00
2051,112, Noida Nibbles        , Fast Food         ," 888 Fast Lane, Noida       ",4.5, 10:00 AM  -  12:00 PM ,0:45:00
2052,108, Ahmedabad Delights   , Gujarati          ," 101 Ahmedabad Road, Ahmedabad",4.4, 10:30 AM  -  1:00 PM ,0:35:00
2053,107, Pune Palate          , Maharashtrian      ," 222 Pune Lane, Pune        ",3.2, 10:00 PM  -  12:00 AM ,0:30:00
2054,104, Kolkata Cravings     , Bengali            ," 789 Kolkata Road, Kolkata ",4.6, 10:30 AM  -  12:30 PM ,0:40:00
2055,111, Gurgaon Grill        , Barbecue          ," 123 Grill Lane, Gurugram   ",4.5, 11:00 AM  -  11:00 PM ,0:35:00
2056,116, Goa Gastronomy       , Goan              ," 555 Goa Road, Goa         ",2, 10:00 AM  -  12:00 PM ,0:30:00
2057,113, Pune Platter         , Maharashtrian      ," 789 Pune Road, Pune        ",4.4, 10:30 AM  -  1:00 PM ,0:45:00
2058,117, Amritsar Junction    , North Indian      ," 101 Jaipur Road, Jaipur   ",4.3, 10:00 PM  -  12:00 AM ,0:40:00
2059,114, Lucknow Delicacies   , Awadhi            ," 444 Awadhi Street, Lucknow ",4.4, 10:30 AM  -  12:30 PM ,0:35:00
2060,105, Spice of Hyderabad   , Hyderabadi        ," 101 Hyderabad Road, Hyderabad",4.7, 11:00 AM  -  11:00 PM ,0:30:00
2061,109, Rajasthani Delights  , Rajasthani        ," 222 Rajasthani Road, Jaipur ",4.3, 10:00 AM  -  12:00 PM ,0:40:00
2062,110, Chandigarh Street    , Street Food       ," 444 Street Lane, Chandigarh ",4.4, 10:30 AM  -  1:00 PM ,0:35:00
2063,119,North Bites      , North Indian      ," 567 Bhopal Road, Bhopal   ",4.2, 10:00 PM  -  12:00 AM ,0:30:00
2064,103, Flavors of Bangalore , South Indian      ," 789 South Lane, Bangalore  ",4.6, 10:30 AM  -  12:30 PM ,0:40:00
2065,105, Spice of Hyderabad   , Hyderabadi        ," 101 Hyderabad Road, Hyderabad",4.7, 10:30 AM  -  1:00 PM ,0:45:00
2066,118, Vadodara Delights    , Gujarati          ," 345 Vadodara Road, Vadodara",3, 10:00 AM  -  12:00 PM ,0:35:00
2067,109, Rajasthani Delights  , Rajasthani        ," 222 Rajasthani Road, Jaipur ",4.3, 10:30 AM  -  1:00 PM ,0:45:00
2068,107, Pune Palate          , Maharashtrian      ," 789 Pune Lane, Pune        ",4.4, 10:00 AM  -  12:00 PM ,0:40:00
2069,104, Kolkata Cravings     , Bengali            ," 789 Kolkata Road, Kolkata ",4.6, 10:00 AM  -  12:00 PM ,0:30:00
2070,111, Gurgaon Grill        , Barbecue          ," 123 Grill Lane, Gurugram   ",3.6, 10:30 AM  -  1:00 PM ,0:45:00
2071,116, Goa Gastronomy       , Goan              ," 555 Goa Road, Goa         ",4.2, 10:00 AM  -  12:00 PM ,0:35:00
2072,113, Pune Platter         , Maharashtrian      ," 789 Pune Road, Pune        ",4.4, 10:30 AM  -  1:00 PM ,0:40:00
2073,119, Bhopal Bites         , North Indian      ," 567 Bhopal Road, Bhopal   ",4.2, 10:00 PM  -  12:00 AM ,0:30:00
2074,103, Flavors of Bangalore , South Indian      ," 789 South Lane, Bangalore  ",4.6, 10:30 AM  -  12:30 PM ,0:40:00
2075,110, Chandigarh Street    , Street Food       ," 444 Street Lane, Chandigarh ",4.4, 10:30 AM  -  1:00 PM ,0:35:00
2076,105, Spice of Hyderabad   , Hyderabadi        ," 101 Hyderabad Road, Hyderabad",4.7, 10:30 AM  -  1:00 PM ,0:45:00
2077,118, Vadodara Delights    , Gujarati          ," 345 Vadodara Road, Vadodara",4.3, 10:00 AM  -  12:00 PM ,0:35:00
2078,109, Rajasthani Delights  , Rajasthani        ," 222 Rajasthani Road, Jaipur ",4.3, 10:30 AM  -  1:00 PM ,0:45:00
2079,107, Pune Palate          , Maharashtrian      ," 789 Pune Lane, Pune        ",4.4, 10:00 AM  -  12:00 PM ,0:40:00
2080,104, Kolkata Cravings     , Bengali            ," 789 Kolkata Road, Kolkata ",4.6, 10:00 AM  -  12:00 PM ,0:30:00
2081,111, Gurgaon Grill        , Barbecue          ," 123 Grill Lane, Gurugram   ",4.5, 11:00 AM  -  11:00 PM ,0:35:00
2082,116, Goa Gastronomy       , Goan              ," 555 Goa Road, Goa         ",4.2, 10:00 AM  -  12:00 PM ,0:30:00
2083,113, Pune Platter         , Maharashtrian      ," 789 Pune Lane, Pune        ",4.4, 10:30 AM  -  1:00 PM ,0:40:00
2084,119,Rasoi Raj      , North Indian      ," 567 Bhopal Road, Bhopal   ",3.3, 10:00 PM  -  12:00 AM ,0:30:00
2085,103, Flavors of Bangalore , South Indian      ," 789 South Lane, Bangalore  ",4.6, 10:30 AM  -  12:30 PM ,0:40:00
2086,109, Rajasthani Delights  , Rajasthani        ," 222 Rajasthani Road, Jaipur ",4.3, 10:00 AM  -  12:00 PM ,0:40:00
2087,105, Spice of Hyderabad   , Hyderabadi        ," 101 Hyderabad Road, Hyderabad",4.2, 10:30 AM  -  1:00 PM ,0:45:00
2088,110, Chandigarh Street    , Street Food       ," 444 Street Lane, Chandigarh ",4.4, 10:00 PM  -  11:00 PM ,0:35:00
2089,102, Mumbai Munch         , Fast Food         ," 555 Fast Street, Mumbai   ",4.2, 10:30 AM  -  12:30 PM ,0:30:00
2090,120, Indore Spice         , Indori            ," 777 Indori Lane, Indore   ",4.6, 11:00 AM  -  11:00 PM ,0:40:00
2091,112, Noida Nibbles        , Fast Food         ," 888 Fast Lane, Noida       ",4.5, 10:00 AM  -  12:00 PM ,0:45:00
2092,108, Ahmedabad Delights   , Gujarati          ," 101 Ahmedabad Road, Ahmedabad",3.5, 10:30 AM  -  1:00 PM ,0:35:00
2093,107, Pune Palate          , Maharashtrian      ," 222 Pune Lane, Pune        ",4.4, 10:00 AM  -  12:00 PM ,0:40:00
2094,104, Kolkata Cravings     , Bengali            ," 789 Kolkata Road, Kolkata ",4.6, 10:00 AM  -  12:00 PM ,0:30:00
2095,111, Gurgaon Grill        , Barbecue          ," 123 Grill Lane, Gurugram   ",4.8, 11:00 AM  -  11:00 PM ,0:35:00
2096,116, Goa Gastronomy       , Goan              ," 555 Goa Road, Goa         ",4.2, 10:00 AM  -  12:00 PM ,0:30:00
2097,113, Pune Platter         , Maharashtrian      ," 789 Pune Lane, Pune        ",4.4, 10:30 AM  -  1:00 PM ,0:40:00
2098,119,Nawabi Delights ,Mughlai," 567 Bhopal Road, Bhopal   ",2.8, 10:00 PM  -  12:00 AM ,0:30:00
2099,103, Flavors of Bangalore , South Indian      ," 789 South Lane, Bangalore  ",4.6, 10:30 AM  -  12:30 PM ,0:40:00
2100,109, Rajasthani Delights  , Rajasthani        ," 222 Rajasthani Road, Jaipur ",3.5, 10:00 AM  -  12:00 PM ,0:40:00
